Catalog ID,Item Name,Equipment,Brand,Stock,Notes
1230M,Llave Combinacion 30 mm,Herramienta Manual,Llave Combinacion,1,
100367,Llave Combinacion 17 mm,Herramienta Manual,Surtek,3,
,Llave Mixta (32/36) mm,Herramienta Manual,Stahlwille Motor,1,
1124,Llave Combinacion 24 mm,Herramienta Manual,Urrea,1,
1220MA,Llave Combinacion 20 mm,Herramienta Manual,Urrea,1,
1218M, Llave Combinacion 18 mm,Herramienta Manual,Urrea,1,
1221MA,Llave Combinacion 21 mm,Herramienta Manual,Urrea,1,
1225M,Llave Combinacion 25 mm,Herramienta Manual,Urrea,1,
1221M,Llave Combinacion 21 mm,Herramienta Manual,Urrea,1,
,Llave Combinacion 16 mm,Herramienta Manual,FOY,1,
1220M,Llave Combinacion 20 mm,Herramienta Manual,Urrea,1,
100369,Llave Combinacion 19 mm,Herramienta Manual,Surtek,1,
1217M,Llave Combinacion 17 mm,Herramienta Manual,Urrea,1,
1211M,Llave Combinacion 11 mm,Herramienta Manual,Urrea,2,
31617,Llave Mixta (16/17) mm,Herramienta Manual,Urrea,1,
100360,Llave Combinacion 10 mm,Herramienta Manual,Surtek,1,
1209M,Llave Combinacion 9 mm,Herramienta Manual,Urrea,3,
1214M,Llave Combinacion 14 mm,Herramienta Manual,Urrea,3,
1208MA,Llave Combinacion 8 mm,Herramienta Manual,Urrea,2,
1212M,Llave Combinacion 12 mm,Herramienta Manual,Urrea,1,
100366,Llave Combinacion 16 mm,Herramienta Manual,Surtek,2,
1210M,Llave Combinacion 10 mm,Herramienta Manual,Urrea,1,
1212MA,Llave Combinacion 12 mm,Herramienta Manual,Urrea,3,
1223MA,Llave Combinacion 23 mm,Herramienta Manual,Urrea,1,
100365,Llave Combinacion 15 mm,Herramienta Manual,Surtek,1,
1216M,Llave Combinacion 16 mm,Herramienta Manual,Urrea,1,
,Llave Combinacion 13 mm,Herramienta Manual,FOY,1,
,Llave Combinacion 14 mm,Herramienta Manual,FOY,1,
1213M,Llave Combinacion 13 mm,Herramienta Manual,Urrea,3,
,Llave Combinacion 15 mm,Herramienta Manual,FOY,1,
100361,Llave Combinacion 11 mm,Herramienta Manual,Surtek,1,
,Llave Combinacion 11 mm,Herramienta Manual,FOY,1,
,Llave Mixta (8/10) mm,Herramienta Manual,Banner,1,
,Llave Combinacion 17 mm,Herramienta Manual,FOY,1,
,Llave Combinacion 8 mm,Herramienta Manual,FOY,1,
,"Juego de Llaves Combinacion (9, 10, 11, 12, 14) mm",Herramienta Manual,FOY,1,
,Llave de Estrias 15/16,Herramienta Manual,CH,1,
F5852A,Torquimetro 1/2,Herramienta Manual,Surtek,1,
,Torquimetro 1/2 (sin marca),Herramienta Manual,,1,
F4449,Torquimetro 1/4,Herramienta Manual,Surtek,1,
1246M,Llave Combinacion 46 mm,Herramienta Manual,Urrea,2,
1236M,Llave Combinacion 36 mm,Herramienta Manual,Urrea,1,
1242A,"Llave Combinacion 1-5/16""",Herramienta Manual,Urrea,2,
6136,"Llave Combinacion 1-1/8""",Herramienta Manual,Challenger Proto,1,
100184,"Llave Combinacion 1-1/16""",Herramienta Manual,Surtek,1,
LL-1226,"Llave Combinacion 13/16""",Herramienta Manual,Truper,1,
,"Llave Combinacion 1-1/8""",Herramienta Manual,Husky,1,
,"Llave Combinacion 7/8""",Herramienta Manual,FOY,2,
100186,"Llave Combinacion 1-1/8""",Herramienta Manual,Surtek,1,
1226H,"Llave Combinacion 13/16""",Herramienta Manual,Urrea,1,
LL-1222,"Llave Combinacion 11/16""",Herramienta Manual,Truper,1,
1234,"Llave Combinacion 1-1/16""",Herramienta Manual,Urrea,1,
1230,"Llave Combinacion 15/16""",Herramienta Manual,Urrea,1,
1240,"Llave Combinacion 1-1/4""",Herramienta Manual,Urrea,2,
1232A,"Llave Combinacion 1""",Herramienta Manual,Urrea,1,
LL-1220,"Llave Combinacion 5/8""",Herramienta Manual,Truper,2,
100172,"Llave Combinacion 11/16""",Herramienta Manual,Surtek,4,
1220H,"Llave Combinacion 5/8""",Herramienta Manual,Urrea,1,
,"Llave Combinacion 13/16""",Herramienta Manual,FOY,1,
1228H,"Llave Combinacion 7/8""",Herramienta Manual,Urrea,1,
,"Llave Mixta 7/8 - 13/16""",Herramienta Manual,Truper,1,
100174,"Llave Combinacion 3/4""",Herramienta Manual,Surtek,1,
,"Llave Combinacion 9/16""",Herramienta Manual,Pretul,1,
100170,"Llave Combinacion 5/8""",Herramienta Manual,Surtek,3,
27,"Llave Combinacion 5/8""",Herramienta Manual,Akar,1,
,"Llave Combinacion 11/16""",Herramienta Manual,Knova,1,
1214H,"Llave Combinacion 7/16""",Herramienta Manual,Urrea,1,
100182,"Llave Combinacion 3/8""",Herramienta Manual,Surtek,1,
100160,"Llave Combinacion 5/16""",Herramienta Manual,Surtek,1,
1218A,"Llave Combinacion 9/16""",Herramienta Manual,Urrea,2,
,"Llave Mixta 5/8 - 9/16""",Herramienta Manual,Truper,1,
,"Llave Combinacion 1/2""",Herramienta Manual,FOY,1,
100162,"Llave Combinacion 3/8""",Herramienta Manual,Surtek,3,
100158,"Llave Combinacion 1/4""",Herramienta Manual,Surtek,3,
,"Llave Combinacion 7/16""",Herramienta Manual,FOY,1,
,"Llave Combinacion 5/8""",Herramienta Manual,FOY,2,
,"Llave Combinacion 9/16""",Herramienta Manual,FOY,1,
86-833,"Llave Combinacion 3/8""",Herramienta Manual,Stanley,1,
,"Llave Combinacion 1/4""",Herramienta Manual,FOY,1,
,Torquimetro 1/2x300,Herramienta Manual,Garant,1,
